user_id,tier,region,compliance_group,route_path,timestamp_utc,component_id,version_ids,compliance_statuses,rollout_pcts,stability_scores,active_version_id,fallback_version_id,ground_truth_version_id
adversarial_user_0000,premium,SG,B,/audit-log,1750000000.0,comp_adversarial,v1,approved,1.0,0.9,v1,v1,v1
adversarial_user_0001,standard,JP,A,/transactions,1750000900.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.65;0.51;0.74,v1,v1,v1
adversarial_user_0002,admin,US,C,/audit-log,1750001800.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0003,standard,JP,C,/settings,1750002700.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0004,standard,CA,A,/api/v1/versions,1750003600.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0005,standard,US,A,/settings,1750004500.0,comp_adversarial,v1,approved,1.0,0.9,v1,v1,v1
adversarial_user_0006,premium,GB,B,/audit-log,1750005400.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.66;0.68;0.86,v1,v1,v1
adversarial_user_0007,standard,AU,B,/admin,1750006300.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0008,admin,JP,C,/dashboard,1750007200.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0009,premium,AU,A,/users,1750008100.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0010,admin,US,A,/login,1750009000.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0011,premium,CA,A,/api/v1/versions,1750009900.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.86;0.71;0.6,v1,v1,v1
adversarial_user_0012,premium,GB,C,/admin,1750010800.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0013,standard,US,C,/api/v1/flags,1750011700.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0014,admin,JP,B,/transactions,1750012600.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0015,standard,US,C,/transactions,1750013500.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0016,admin,AU,C,/transactions,1750014400.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.52;0.97;0.55,v1,v1,v1
adversarial_user_0017,premium,SG,A,/users,1750015300.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0018,premium,FR,C,/api/v1/flags,1750016200.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0019,admin,FR,B,/dashboard,1750017100.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0020,standard,JP,B,/audit-log,1750018000.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0021,standard,GB,C,/settings,1750018900.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.59;0.61;0.53,v1,v1,v1
adversarial_user_0022,premium,DE,A,/login,1750019800.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0023,premium,JP,B,/admin,1750020700.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0024,premium,DE,C,/api/v1/flags,1750021600.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0025,standard,AU,C,/admin,1750022500.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0026,standard,CA,C,/api/v1/flags,1750023400.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.62;0.68;0.94,v1,v1,v1
adversarial_user_0027,admin,US,C,/admin,1750024300.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0028,admin,US,C,/login,1750025200.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0029,admin,US,A,/api/v1/versions,1750026100.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0030,standard,US,A,/audit-log,1750027000.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0031,premium,SG,C,/admin,1750027900.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.81;0.69;0.83,v1,v1,v1
adversarial_user_0032,admin,US,C,/admin,1750028800.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0033,admin,SG,C,/admin,1750029700.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0034,admin,US,B,/reports,1750030600.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0035,standard,GB,B,/transactions,1750031500.0,comp_adversarial,v1,approved,1.0,0.9,v1,v1,v1
adversarial_user_0036,standard,US,B,/users,1750032400.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.54;0.78;0.69,v1,v1,v1
adversarial_user_0037,admin,DE,C,/audit-log,1750033300.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0038,admin,CA,C,/api/v1/versions,1750034200.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0039,standard,DE,C,/reports,1750035100.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0040,admin,US,A,/transactions,1750036000.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0041,admin,DE,C,/api/v1/versions,1750036900.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.64;0.93;0.83,v1,v1,v1
adversarial_user_0042,admin,AU,B,/api/v1/versions,1750037800.0,comp_adversarial,v1;v2;v3,approved;approved;approved,1.0;1.0;1.0,0.8;0.8;0.8,v1,v1,v1
adversarial_user_0043,premium,CA,A,/dashboard,1750038700.0,comp_adversarial,v1;v2,approved;pending,0.01;1.0,0.9;0.95,v1,v1,v2
adversarial_user_0044,standard,GB,A,/api/v1/flags,1750039600.0,comp_adversarial,v1;v2;v3,deprecated;pending;approved,1.0;1.0;1.0,1.0;0.9;0.5,v1,v1,v3
adversarial_user_0045,premium,US,C,/admin,1750040500.0,comp_adversarial,v1,approved,0.0,0.9,v1,v1,v1
adversarial_user_0046,admin,JP,B,/transactions,1750041400.0,comp_adversarial,v1;v2;v3,deprecated;deprecated;deprecated,1.0;1.0;1.0,0.78;0.67;0.96,v1,v1,v1
