user_id,tier,region,compliance_group,route_path,timestamp_utc,component_id,version_ids,compliance_statuses,rollout_pcts,stability_scores,active_version_id,fallback_version_id,ground_truth_version_id
fallback_user_0000,admin,JP,C,/admin,1750000000.0,comp_fallback,v1;v2;v3;v4,approved;approved;approved;approved,0.0;0.0;0.0;0.0,0.59;0.64;0.56;0.55,v1,v1,v1
fallback_user_0001,premium,AU,A,/transactions,1750001800.0,comp_fallback,v1;v2;v3;v4,pending;pending;approved;approved,0.0;0.0;0.0;0.0,0.68;0.92;0.56;0.79,v1,v1,v1
fallback_user_0002,premium,SG,A,/reports,1750003600.0,comp_fallback,v1,pending,0.0,0.69,v1,v1,v1
fallback_user_0003,admin,CA,C,/dashboard,1750005400.0,comp_fallback,v1;v2,pending;approved,0.0;0.0,0.87;0.52,v1,v1,v1
fallback_user_0004,premium,AU,C,/dashboard,1750007200.0,comp_fallback,v1;v2;v3,pending;pending;approved,0.0;0.0;0.0,0.92;0.79;0.62,v1,v1,v1
fallback_user_0005,premium,FR,B,/audit-log,1750009000.0,comp_fallback,v1;v2;v3,approved;approved;pending,0.0;0.0;0.0,0.5;0.79;1.0,v1,v1,v1
fallback_user_0006,standard,SG,A,/settings,1750010800.0,comp_fallback,v1;v2;v3,pending;approved;approved,0.0;0.0;0.0,0.56;0.8;1.0,v1,v1,v1
fallback_user_0007,standard,JP,A,/dashboard,1750012600.0,comp_fallback,v1;v2,approved;pending,0.0;0.0,0.81;0.96,v1,v1,v1
fallback_user_0008,admin,AU,C,/login,1750014400.0,comp_fallback,v1;v2;v3;v4,pending;approved;approved;pending,0.0;0.0;0.0;0.0,0.59;0.93;0.64;0.99,v1,v1,v1
fallback_user_0009,premium,CA,B,/api/v1/flags,1750016200.0,comp_fallback,v1,pending,0.0,0.75,v1,v1,v1
fallback_user_0010,premium,SG,A,/transactions,1750018000.0,comp_fallback,v1;v2;v3;v4,approved;approved;approved;pending,0.0;0.0;0.0;0.0,0.66;0.97;0.54;0.7,v1,v1,v1
fallback_user_0011,admin,FR,C,/login,1750019800.0,comp_fallback,v1;v2,pending;pending,0.0;0.0,0.87;0.62,v1,v1,v1
fallback_user_0012,admin,DE,B,/transactions,1750021600.0,comp_fallback,v1,pending,0.0,0.93,v1,v1,v1
fallback_user_0013,premium,AU,B,/settings,1750023400.0,comp_fallback,v1;v2,approved;pending,0.0;0.0,0.96;0.76,v1,v1,v1
fallback_user_0014,premium,CA,B,/api/v1/versions,1750025200.0,comp_fallback,v1,approved,0.0,0.96,v1,v1,v1
fallback_user_0015,standard,DE,A,/reports,1750027000.0,comp_fallback,v1;v2;v3;v4,approved;approved;approved;approved,0.0;0.0;0.0;0.0,0.61;0.87;0.67;0.77,v1,v1,v1
fallback_user_0016,premium,US,C,/transactions,1750028800.0,comp_fallback,v1,approved,0.0,0.56,v1,v1,v1
fallback_user_0017,admin,JP,A,/dashboard,1750030600.0,comp_fallback,v1;v2;v3;v4,approved;approved;approved;pending,0.0;0.0;0.0;0.0,0.64;0.84;0.66;0.99,v1,v1,v1
fallback_user_0018,admin,GB,A,/admin,1750032400.0,comp_fallback,v1;v2,approved;approved,0.0;0.0,0.6;0.54,v1,v1,v1
fallback_user_0019,premium,DE,C,/settings,1750034200.0,comp_fallback,v1;v2;v3,pending;approved;approved,0.0;0.0;0.0,0.91;0.79;0.65,v1,v1,v1
fallback_user_0020,premium,SG,B,/audit-log,1750036000.0,comp_fallback,v1;v2;v3;v4,approved;pending;pending;pending,0.0;0.0;0.0;0.0,0.64;0.74;0.84;0.75,v1,v1,v1
fallback_user_0021,premium,FR,B,/admin,1750037800.0,comp_fallback,v1;v2;v3,approved;approved;approved,0.0;0.0;0.0,0.63;0.74;0.67,v1,v1,v1
fallback_user_0022,premium,US,A,/reports,1750039600.0,comp_fallback,v1;v2;v3,approved;pending;approved,0.0;0.0;0.0,1.0;0.55;0.9,v1,v1,v1
fallback_user_0023,admin,FR,C,/users,1750041400.0,comp_fallback,v1;v2;v3,pending;approved;approved,0.0;0.0;0.0,0.72;0.79;0.65,v1,v1,v1
fallback_user_0024,admin,SG,A,/audit-log,1750043200.0,comp_fallback,v1,pending,0.0,0.58,v1,v1,v1
fallback_user_0025,premium,GB,A,/dashboard,1750045000.0,comp_fallback,v1;v2;v3,pending;pending;approved,0.0;0.0;0.0,0.56;0.63;0.77,v1,v1,v1
fallback_user_0026,premium,GB,C,/users,1750046800.0,comp_fallback,v1,pending,0.0,0.92,v1,v1,v1
fallback_user_0027,admin,FR,C,/api/v1/versions,1750048600.0,comp_fallback,v1;v2;v3;v4,approved;pending;approved;approved,0.0;0.0;0.0;0.0,0.93;0.52;0.7;0.56,v1,v1,v1
fallback_user_0028,premium,JP,B,/reports,1750050400.0,comp_fallback,v1;v2;v3;v4,approved;approved;pending;approved,0.0;0.0;0.0;0.0,0.69;0.99;0.56;0.6,v1,v1,v1
fallback_user_0029,premium,US,C,/login,1750052200.0,comp_fallback,v1;v2;v3,approved;pending;approved,0.0;0.0;0.0,0.81;0.85;0.67,v1,v1,v1
fallback_user_0030,standard,CA,B,/login,1750054000.0,comp_fallback,v1;v2;v3;v4,approved;approved;pending;pending,0.0;0.0;0.0;0.0,0.51;0.6;0.71;0.92,v1,v1,v1
fallback_user_0031,admin,GB,B,/transactions,1750055800.0,comp_fallback,v1;v2;v3,pending;approved;pending,0.0;0.0;0.0,0.58;0.74;0.86,v1,v1,v1
fallback_user_0032,admin,GB,A,/login,1750057600.0,comp_fallback,v1;v2,pending;approved,0.0;0.0,0.78;0.73,v1,v1,v1
fallback_user_0033,admin,GB,B,/login,1750059400.0,comp_fallback,v1;v2;v3,approved;approved;pending,0.0;0.0;0.0,0.76;0.66;0.5,v1,v1,v1
fallback_user_0034,premium,AU,A,/admin,1750061200.0,comp_fallback,v1;v2,approved;approved,0.0;0.0,0.85;0.74,v1,v1,v1
fallback_user_0035,standard,AU,C,/dashboard,1750063000.0,comp_fallback,v1;v2;v3,pending;approved;approved,0.0;0.0;0.0,0.69;0.69;0.99,v1,v1,v1
fallback_user_0036,premium,GB,A,/users,1750064800.0,comp_fallback,v1;v2;v3;v4,pending;approved;approved;pending,0.0;0.0;0.0;0.0,0.68;0.51;0.63;0.52,v1,v1,v1
fallback_user_0037,premium,US,A,/settings,1750066600.0,comp_fallback,v1;v2;v3;v4,pending;approved;pending;pending,0.0;0.0;0.0;0.0,0.51;0.82;0.81;0.98,v1,v1,v1
fallback_user_0038,standard,CA,A,/audit-log,1750068400.0,comp_fallback,v1;v2;v3,pending;pending;approved,0.0;0.0;0.0,0.93;0.72;0.92,v1,v1,v1
fallback_user_0039,admin,SG,B,/api/v1/flags,1750070200.0,comp_fallback,v1;v2;v3;v4,pending;approved;pending;approved,0.0;0.0;0.0;0.0,0.72;0.6;0.69;0.58,v1,v1,v1
