user_id,tier,region,compliance_group,route_path,timestamp_utc,component_id,version_ids,compliance_statuses,rollout_pcts,stability_scores,active_version_id,fallback_version_id,ground_truth_version_id
user_0000,standard,CA,A,/dashboard,1750242858.0617213,comp_settings,v1;v2,approved;approved,0.12;0.23,0.64;0.55,v1,v1,v1
user_0001,standard,CA,B,/transactions,1750403002.863512,comp_header,v1;v2;v3,approved;approved;pending,0.55;0.74;0.3,0.51;0.85;0.79,v1,v1,v2
user_0002,premium,FR,C,/audit-log,1750118776.8024354,comp_settings,v1;v2;v3;v4,approved;pending;approved;pending,0.19;0.86;0.76;0.17,0.69;0.8;0.77;0.65,v1,v1,v3
user_0003,premium,FR,C,/transactions,1751819118.2524846,comp_dashboard,v1;v2;v3,approved;approved;pending,0.8;0.88;0.67,0.99;0.69;0.68,v1,v1,v2
user_0004,admin,FR,C,/users,1752184672.177132,comp_dashboard,v1;v2,approved;deprecated,0.65;0.32,0.59;0.73,v1,v1,v1
user_0005,admin,AU,A,/login,1751025477.8875492,comp_settings,v1;v2,approved;pending,0.31;0.46,0.52;0.53,v1,v1,v1
user_0006,standard,DE,C,/admin,1751545892.2076573,comp_header,v1;v2;v3;v4;v5,approved;deprecated;deprecated;pending;deprecated,0.23;0.61;0.49;0.3;0.54,0.57;0.63;0.79;1.0;0.88,v1,v1,v1
user_0007,standard,JP,C,/settings,1751315910.9005744,comp_auditlog,v1;v2;v3;v4;v5,approved;deprecated;approved;deprecated;pending,0.44;0.33;0.71;0.78;0.2,1.0;0.78;0.56;0.88;0.72,v1,v1,v3
user_0008,standard,US,C,/users,1751266465.9952111,comp_dashboard,v1;v2,approved;deprecated,0.88;0.56,0.65;0.6,v1,v1,v1
user_0009,standard,GB,C,/login,1752115132.2728648,comp_settings,v1;v2,approved;pending,0.94;0.32,0.94;0.62,v1,v1,v1
user_0010,admin,FR,C,/transactions,1751034188.0415933,comp_settings,v1;v2;v3,approved;deprecated;deprecated,0.22;0.25;0.48,0.74;0.76;0.61,v1,v1,v1
user_0011,standard,GB,A,/users,1750183662.2509115,comp_header,v1;v2;v3;v4,approved;approved;approved;approved,0.49;0.32;0.63;0.11,0.76;0.53;0.62;0.85,v1,v1,v1
user_0012,premium,FR,A,/audit-log,1751708083.286742,comp_auditlog,v1;v2;v3,approved;deprecated;deprecated,0.35;0.22;0.62,0.74;0.97;0.62,v1,v1,v1
user_0013,standard,SG,A,/admin,1750475600.9887605,comp_sidebar,v1;v2;v3;v4,approved;deprecated;deprecated;pending,0.48;0.15;0.19;0.82,0.73;0.83;0.7;0.55,v1,v1,v1
user_0014,premium,US,A,/admin,1750005586.740687,comp_sidebar,v1;v2;v3;v4;v5,approved;pending;approved;approved;approved,0.32;0.83;0.15;0.97;0.25,0.96;0.93;1.0;0.96;0.74,v1,v1,v4
user_0015,standard,AU,A,/dashboard,1751514188.3248377,comp_settings,v1;v2;v3;v4;v5,approved;pending;deprecated;deprecated;approved,0.34;0.36;1.0;0.54;0.97,0.89;0.85;0.78;0.59;0.79,v1,v1,v5
user_0016,standard,US,C,/audit-log,1751086630.9805505,comp_settings,v1;v2;v3,approved;approved;approved,0.15;0.16;0.46,0.75;0.53;0.97,v1,v1,v1
user_0017,premium,GB,A,/api/v1/flags,1750552495.9773962,comp_header,v1;v2;v3;v4,approved;deprecated;approved;pending,0.94;0.38;0.7;0.94,0.6;0.63;0.65;0.97,v1,v1,v1
user_0018,standard,JP,C,/audit-log,1752433706.570179,comp_settings,v1;v2;v3;v4,approved;approved;approved;pending,0.22;0.89;0.49;0.65,0.67;0.68;0.77;0.99,v1,v1,v2
user_0019,admin,SG,B,/dashboard,1750239237.6283114,comp_dashboard,v1;v2;v3,approved;deprecated;deprecated,0.34;0.6;0.29,0.94;0.64;0.67,v1,v1,v1
user_0020,admin,US,B,/api/v1/versions,1751432145.0507631,comp_sidebar,v1;v2;v3;v4;v5,approved;pending;pending;deprecated;approved,0.85;0.79;0.25;0.48;0.95,0.52;0.82;0.72;0.5;0.85,v1,v1,v5
user_0021,standard,DE,B,/dashboard,1750464902.83958,comp_sidebar,v1;v2;v3;v4;v5,approved;approved;approved;deprecated;deprecated,0.21;0.91;0.7;0.9;0.77,0.65;0.61;0.68;0.7;0.96,v1,v1,v2
user_0022,standard,SG,B,/transactions,1752126830.2994783,comp_sidebar,v1;v2;v3;v4,approved;deprecated;pending;pending,0.8;0.88;0.24;0.88,0.71;0.91;0.85;0.93,v1,v1,v1
user_0023,premium,US,A,/transactions,1750462847.779519,comp_settings,v1;v2;v3,approved;pending;pending,0.3;0.4;0.42,0.83;0.93;0.75,v1,v1,v1
user_0024,standard,FR,B,/admin,1750181372.1184394,comp_auditlog,v1;v2;v3;v4,approved;pending;deprecated;deprecated,0.13;0.76;0.99;0.27,0.8;0.66;0.56;0.52,v1,v1,v2
user_0025,admin,CA,C,/settings,1751595414.662146,comp_auditlog,v1;v2;v3;v4,approved;approved;pending;deprecated,0.66;0.75;0.7;0.37,0.83;0.65;0.66;0.56,v1,v1,v2
user_0026,admin,DE,C,/audit-log,1750735574.361742,comp_auditlog,v1;v2;v3;v4,approved;pending;deprecated;pending,0.47;0.36;0.65;0.5,0.92;0.71;0.66;0.61,v1,v1,v1
user_0027,premium,FR,C,/admin,1751281425.622075,comp_auditlog,v1;v2;v3;v4,approved;approved;approved;pending,0.18;0.71;0.23;0.65,0.98;0.61;0.52;0.88,v1,v1,v1
user_0028,standard,SG,A,/login,1751730361.482864,comp_sidebar,v1;v2;v3,approved;approved;deprecated,0.23;0.8;0.57,0.84;0.61;0.53,v1,v1,v1
user_0029,standard,JP,C,/login,1751624531.9486568,comp_dashboard,v1;v2;v3;v4,approved;deprecated;pending;approved,0.96;0.83;0.85;0.77,0.95;0.95;0.77;0.74,v1,v1,v1
user_0030,premium,CA,B,/api/v1/flags,1751207675.7942863,comp_header,v1;v2;v3;v4,approved;approved;deprecated;pending,0.5;0.34;0.17;0.72,0.86;0.66;0.58;0.85,v1,v1,v4
user_0031,premium,SG,A,/users,1750774003.994949,comp_settings,v1;v2,approved;deprecated,0.29;0.95,0.71;0.51,v1,v1,v1
user_0032,premium,DE,C,/api/v1/flags,1750069897.043338,comp_sidebar,v1;v2;v3;v4;v5,approved;pending;deprecated;pending;pending,0.87;0.58;0.91;0.49;0.7,0.98;0.87;0.74;0.51;0.9,v1,v1,v1
user_0033,premium,GB,B,/dashboard,1751941470.8847268,comp_auditlog,v1;v2;v3;v4;v5,approved;approved;pending;pending;pending,0.63;0.68;0.26;0.29;0.35,0.83;0.57;0.63;0.66;0.98,v1,v1,v2
user_0034,standard,FR,A,/dashboard,1751610502.0218713,comp_header,v1;v2,approved;deprecated,1.0;0.16,0.67;0.98,v1,v1,v1
user_0035,admin,GB,A,/transactions,1750280191.9591124,comp_settings,v1;v2;v3,approved;deprecated;pending,0.21;0.95;0.79,0.83;0.73;0.58,v1,v1,v3
user_0036,admin,FR,A,/transactions,1752203960.0757182,comp_header,v1;v2,approved;pending,0.94;0.46,0.79;0.86,v1,v1,v1
user_0037,standard,AU,A,/admin,1752131481.7396894,comp_dashboard,v1;v2,approved;approved,0.82;0.41,0.78;0.71,v1,v1,v1
user_0038,admin,JP,C,/api/v1/flags,1752007870.639363,comp_settings,v1;v2,approved;pending,0.49;0.74,0.68;0.72,v1,v1,v1
user_0039,premium,FR,B,/transactions,1750882158.2814817,comp_sidebar,v1;v2;v3;v4;v5,approved;pending;approved;pending;pending,0.49;0.39;0.35;0.61;0.13,0.87;0.62;0.73;0.83;0.93,v1,v1,v1
user_0040,standard,JP,A,/admin,1751793112.3065252,comp_header,v1;v2;v3;v4,approved;approved;pending;pending,0.6;0.18;0.6;0.68,0.76;0.86;0.62;0.75,v1,v1,v1
user_0041,admin,FR,B,/audit-log,1751925547.7169526,comp_header,v1;v2;v3;v4,approved;deprecated;deprecated;pending,0.7;0.58;0.6;0.34,0.68;0.71;0.68;0.63,v1,v1,v1
user_0042,premium,FR,B,/settings,1750783477.590119,comp_sidebar,v1;v2;v3,approved;pending;deprecated,0.27;0.75;0.64,0.87;0.99;0.99,v1,v1,v2
user_0043,admin,JP,B,/login,1751141695.1247685,comp_header,v1;v2;v3,approved;deprecated;deprecated,0.35;0.36;0.88,0.99;0.97;0.75,v1,v1,v1
user_0044,standard,DE,C,/transactions,1750220788.914563,comp_header,v1;v2;v3,approved;pending;pending,0.97;0.2;0.17,0.63;0.53;0.81,v1,v1,v1
user_0045,admin,CA,B,/api/v1/versions,1751609702.816219,comp_dashboard,v1;v2;v3,approved;deprecated;deprecated,0.21;0.64;0.44,0.88;0.81;0.95,v1,v1,v1
user_0046,standard,GB,A,/dashboard,1751058877.5483348,comp_sidebar,v1;v2,approved;approved,0.95;0.34,0.6;0.54,v1,v1,v1
user_0047,premium,DE,A,/dashboard,1750430071.8696601,comp_sidebar,v1;v2;v3;v4;v5,approved;deprecated;approved;deprecated;approved,0.36;0.35;0.72;0.63;0.48,0.62;0.93;0.96;0.9;0.77,v1,v1,v3
user_0048,standard,CA,C,/users,1751564825.7573318,comp_settings,v1;v2;v3;v4,approved;pending;pending;deprecated,0.64;0.5;0.73;0.59,0.91;0.73;0.97;0.72,v1,v1,v1
user_0049,admin,US,A,/login,1751345154.2758398,comp_dashboard,v1;v2,approved;deprecated,0.18;0.63,0.98;0.51,v1,v1,v1
user_0050,admin,US,B,/audit-log,1750815228.471385,comp_auditlog,v1;v2;v3;v4;v5,approved;deprecated;approved;pending;pending,0.92;0.49;0.52;0.7;0.47,0.59;0.91;0.7;0.93;0.75,v1,v1,v1
user_0051,standard,FR,B,/api/v1/flags,1750339586.2894394,comp_auditlog,v1;v2;v3;v4,approved;deprecated;deprecated;deprecated,0.2;0.84;0.52;0.43,0.89;0.5;0.53;0.88,v1,v1,v1
user_0052,premium,GB,C,/settings,1751291789.308201,comp_header,v1;v2;v3;v4,approved;approved;approved;approved,0.49;0.13;0.74;0.6,0.85;0.82;0.66;0.55,v1,v1,v3
user_0053,premium,CA,B,/api/v1/flags,1750692511.5426695,comp_header,v1;v2;v3;v4,approved;pending;deprecated;deprecated,0.56;0.98;0.23;0.56,0.64;0.62;0.6;0.94,v1,v1,v1
user_0054,premium,SG,B,/users,1751430569.9450476,comp_sidebar,v1;v2,approved;deprecated,0.35;0.62,0.65;0.83,v1,v1,v1
user_0055,premium,US,A,/api/v1/flags,1752502196.5057385,comp_sidebar,v1;v2;v3;v4;v5,approved;approved;pending;approved;pending,0.51;0.98;0.31;0.39;0.45,0.66;0.62;0.89;0.74;0.83,v1,v1,v2
user_0056,premium,CA,C,/audit-log,1752207775.637773,comp_dashboard,v1;v2;v3;v4,approved;pending;approved;deprecated,0.88;0.19;0.75;0.97,0.94;0.96;0.7;0.54,v1,v1,v1
user_0057,premium,DE,C,/transactions,1752341675.168835,comp_header,v1;v2;v3;v4;v5,approved;pending;approved;pending;pending,0.96;0.89;0.31;1.0;0.98,0.81;0.52;0.84;0.87;0.88,v1,v1,v1
user_0058,premium,DE,A,/settings,1750204685.9649107,comp_settings,v1;v2,approved;pending,0.39;0.44,0.53;0.57,v1,v1,v1
user_0059,premium,CA,C,/transactions,1751184118.426435,comp_settings,v1;v2;v3;v4;v5,approved;deprecated;pending;pending;approved,0.66;0.23;0.51;0.91;0.17,0.62;0.73;0.83;0.84;0.97,v1,v1,v1
user_0060,premium,US,C,/dashboard,1752360319.144039,comp_auditlog,v1;v2;v3;v4,approved;pending;pending;pending,0.28;0.2;0.62;0.12,0.69;0.69;1.0;0.92,v1,v1,v1
user_0061,premium,SG,A,/api/v1/versions,1750945720.3160098,comp_header,v1;v2;v3;v4;v5,approved;approved;deprecated;deprecated;approved,0.85;0.65;0.27;0.79;0.67,0.95;0.68;0.63;0.84;0.95,v1,v1,v1
user_0062,premium,DE,B,/login,1752507459.5254245,comp_settings,v1;v2;v3,approved;deprecated;deprecated,0.18;0.47;0.89,0.65;0.6;0.68,v1,v1,v1
user_0063,standard,CA,A,/transactions,1751390795.4230335,comp_dashboard,v1;v2;v3;v4,approved;approved;approved;pending,0.77;0.52;0.87;0.97,0.67;0.54;0.86;0.9,v1,v1,v3
user_0064,admin,SG,C,/transactions,1751682828.6447697,comp_header,v1;v2;v3;v4;v5,approved;pending;pending;approved;pending,0.43;0.63;0.2;0.66;0.92,0.87;0.91;0.62;0.97;0.61,v1,v1,v4
